GEOGRAPHY,ECODE,AREA_NAME,BAND,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
CTYMET,E13000002,Outer London,B,"33,260","22,600","5,950","17,220","13,890","24,600","24,360","25,240","19,850","7,390","10,050","5,700","2,150","212,260"
CTYMET,E13000002,Outer London,C,"78,630","52,300","46,900","85,220","41,850","44,010","37,980","40,530","38,300","18,920","40,310","20,340","3,270","548,550"
CTYMET,E13000002,Outer London,D,"59,230","55,550","58,870","183,920","38,430","31,470","25,730","26,510","19,870","20,320","31,350","15,360","2,130","568,720"
CTYMET,E13000002,Outer London,E,"27,320","34,000","38,610","143,100","13,610","17,920","10,740","8,890","7,580","8,840","14,770","7,020","1,170","333,570"
CTYMET,E13000002,Outer London,F,"13,580","20,990","19,820","52,900","5,760","8,830","5,760","4,510","4,900","4,830","6,930","3,050",630,"152,490"
CTYMET,E13000002,Outer London,G,"11,450","16,990","13,040","25,310","4,140","6,760","5,080","4,310","4,350","4,060","4,130","1,640",830,"102,080"
CTYMET,E13000002,Outer London,H,"3,100","2,750","2,010","3,100",440,960,490,470,720,940,"1,650",780,420,"17,820"
LAUA,E09000001,City of London,All,"1,390",80,50,50,140,340,"2,650",290,110,470,660,410,50,"6,680"
LAUA,E09000001,City of London,A,2.5,2.5,0,0,0,0,0,0,0,10,0,0,0,10
LAUA,E09000001,City of London,B,10,10,2.5,2.5,2.5,0,180,50,0,10,0,50,10,310
LAUA,E09000001,City of London,C,30,2.5,2.5,30,2.5,70,360,110,30,20,10,10,10,670
LAUA,E09000001,City of London,D,200,20,10,2.5,40,110,320,80,30,10,30,20,10,870
LAUA,E09000001,City of London,E,480,20,20,10,70,110,"1,180",20,20,70,400,170,10,"2,590"
LAUA,E09000001,City of London,F,350,30,2.5,10,20,30,180,10,10,220,140,60,10,"1,070"
LAUA,E09000001,City of London,G,250,10,10,0,10,20,390,10,10,120,80,80,10,"1,010"
LAUA,E09000001,City of London,H,70,2.5,0,0,0,2.5,30,2.5,10,10,10,30,10,160
LAUA,E09000002,Barking and Dagenham,All,920,"2,270","28,640","11,990","6,720","4,430","4,740","1,770","1,810","2,730","4,680","2,500",130,"73,350"
LAUA,E09000002,Barking and Dagenham,A,30,70,"1,390",440,500,950,"2,210",680,120,150,160,20,40,"6,740"
LAUA,E09000002,Barking and Dagenham,B,180,270,820,870,"1,930","1,970","1,980",670,810,590,620,550,20,"11,270"
LAUA,E09000002,Barking and Dagenham,C,560,"1,240","25,490","5,410","3,770","1,110",510,330,640,"1,030","3,050","1,010",20,"44,140"
LAUA,E09000002,Barking and Dagenham,D,130,600,850,"3,860",470,310,40,80,230,810,810,890,40,"9,130"
LAUA,E09000002,Barking and Dagenham,E,20,80,70,"1,150",50,100,10,10,10,130,40,40,2.5,"1,700"
