G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LAUA,E09000009,1040,1270,360,1390,620,1290,2310,2410,1030,240,510,650,40,13160
LAUA,E09000009,4700,4690,1280,5050,2130,2330,1770,2950,2630,1080,1870,1000,80,31560
LAUA,E09000009,4350,4510,3690,18310,1720,1620,1250,2060,1470,1040,2310,1060,80,43460
LAUA,E09000009,3560,5680,2820,5600,410,390,640,590,430,560,990,660,50,22350
LAUA,E09000009,1570,3500,1320,1800,150,230,240,100,120,140,390,170,30,9760
LAUA,E09000009,1750,2440,670,1010,160,100,60,110,110,140,100,140,30,6800
LAUA,E09000009,320,290,30,170,20,40,2.5,2.5,2.5,20,30,20,20,960
LAUA,E09000010,13320,15970,8830,36020,5540,8120,8200,6100,5920,5440,7350,2030,170,122990
LAUA,E09000010,400,330,40,230,170,1230,2510,160,2.5,50,90,10,10,5220
LAUA,E09000010,1330,770,140,950,620,850,1310,1800,2060,1040,400,170,20,11480
LAUA,E09000010,5300,4670,1560,7020,1530,2000,2250,2000,1990,1680,2530,880,60,33460
LAUA,E09000010,4280,4640,2640,12300,2210,2370,1250,1400,1000,1350,2240,510,50,36240
LAUA,E09000010,1310,3040,2890,8880,490,570,480,400,490,670,1320,250,10,20820
LAUA,E09000010,330,1570,780,3980,330,370,200,200,250,410,500,120,10,9030
LAUA,E09000010,320,880,680,2450,160,610,160,100,100,200,160,40,10,5850
LAUA,E09000010,70,70,90,200,30,130,40,30,30,40,110,50,10,890
LAUA,E09000011,18530,8380,4090,17320,7080,11920,5890,10310,4030,3810,10020,6420,890,108690
LAUA,E09000011,510,190,230,530,870,2910,1940,2590,290,90,10,10,60,10230
LAUA,E09000011,3410,870,200,750,1700,3680,1850,2900,1420,710,1470,1680,230,20870
LAUA,E09000011,5930,3410,1160,6620,2620,3930,1490,3590,1670,1210,5730,2290,280,39950
LAUA,E09000011,4860,2250,1550,4210,1270,880,340,880,350,1360,2130,1180,160,21410
LAUA,E09000011,1940,900,660,4240,380,360,180,240,230,280,460,710,70,10640
LAUA,E09000011,860,520,180,640,190,100,50,40,20,60,140,390,30,3220
LAUA,E09000011,840,230,110,310,70,50,30,70,50,70,40,150,40,2050
LAUA,E09000011,190,30,10,20,2.5,2.5,10,2.5,2.5,20,30,10,20,340
LAUA,E09000012,33760,6590,1820,7560,10300,9940,6020,6420,3610,4090,10540,6280,1720,108650
LAUA,E09000012,1870,500,70,620,840,950,330,60,10,90,250,440,700,6710
LAUA,E09000012,5230,1300,760,4710,5930,5960,3280,1830,700,570,870,70,320,31530
