"","origin_i","origin_msoacode","destination_j","destination_msoacode","car","OD","bus","rail","flow","lon_o","lat_o","lon_d","lat_d","cluster"
"111",942,"E02000975",939,"E02000972",1,"E02000975E02000972",6,6,13,5.26394606222,1.81127668863,5.2918060312,1.81227810857,2
"112",943,"E02000976",939,"E02000972",1,"E02000976E02000972",1,2,4,5.25856224916,1.80960183687,5.2918060312,1.81227810857,2
"113",943,"E02000976",946,"E02000979",3,"E02000976E02000979",4,1,8,5.25856224916,1.80960183687,5.29590986513,1.79421287787,2
"114",944,"E02000977",187,"E02000193",11,"E02000977E02000193",13,27,51,5.29630668651,1.80417984158,5.3036714957,1.81625483058,2
"115",944,"E02000977",939,"E02000972",12,"E02000977E02000972",29,22,63,5.29630668651,1.80417984158,5.2918060312,1.81227810857,2
"116",944,"E02000977",946,"E02000979",16,"E02000977E02000979",58,61,135,5.29630668651,1.80417984158,5.29590986513,1.79421287787,2
"117",944,"E02000977",6711,"E02006854",4,"E02000977E02006854",2,123,129,5.29630668651,1.80417984158,5.37419614025,1.80220296678,2
"118",945,"E02000978",187,"E02000193",4,"E02000978E02000193",8,8,20,5.27332931023,1.79978296913,5.3036714957,1.81625483058,2
"119",945,"E02000978",939,"E02000972",5,"E02000978E02000972",7,7,19,5.27332931023,1.79978296913,5.2918060312,1.81227810857,2
"120",945,"E02000978",944,"E02000977",7,"E02000978E02000977",8,14,29,5.27332931023,1.79978296913,5.29630668651,1.80417984158,2
"121",945,"E02000978",946,"E02000979",7,"E02000978E02000979",14,5,26,5.27332931023,1.79978296913,5.29590986513,1.79421287787,2
"122",946,"E02000979",187,"E02000193",3,"E02000979E02000193",11,19,33,5.29590986513,1.79421287787,5.3036714957,1.81625483058,2
"123",946,"E02000979",939,"E02000972",9,"E02000979E02000972",27,11,47,5.29590986513,1.79421287787,5.2918060312,1.81227810857,2
"124",946,"E02000979",944,"E02000977",10,"E02000979E02000977",15,15,40,5.29590986513,1.79421287787,5.29630668651,1.80417984158,2
"125",946,"E02000979",6711,"E02006854",1,"E02000979E02006854",1,47,49,5.29590986513,1.79421287787,5.37419614025,1.80220296678,2
"126",947,"E02000980",187,"E02000193",2,"E02000980E02000193",1,1,4,5.29852578838,1.78671752965,5.3036714957,1.81625483058,2
"127",947,"E02000980",946,"E02000979",3,"E02000980E02000979",2,1,6,5.29852578838,1.78671752965,5.29590986513,1.79421287787,2
"128",948,"E02000981",939,"E02000972",2,"E02000981E02000972",2,2,6,5.29122791003,1.78488189846,5.2918060312,1.81227810857,2
"129",948,"E02000981",944,"E02000977",1,"E02000981E02000977",2,2,5,5.29122791003,1.78488189846,5.29630668651,1.80417984158,2
"130",948,"E02000981",946,"E02000979",3,"E02000981E02000979",1,1,5,5.29122791003,1.78488189846,5.29590986513,1.79421287787,2
"131",949,"E02000982",946,"E02000979",3,"E02000982E02000979",3,4,10,5.28658356632,1.78493243495,5.29590986513,1.79421287787,2
"132",6658,"E02006801",187,"E02000193",1,"E02006801E02000193",12,1,14,5.31004437601,1.79734087706,5.3036714957,1.81625483058,2
"133",6658,"E02006801",939,"E02000972",2,"E02006801E02000972",5,12,19,5.31004437601,1.79734087706,5.2918060312,1.81227810857,2
"134",6658,"E02006801",944,"E02000977",2,"E02006801E02000977",2,8,12,5.31004437601,1.79734087706,5.29630668651,1.80417984158,2
"135",6658,"E02006801",946,"E02000979",4,"E02006801E02000979",13,5,22,5.31004437601,1.79734087706,5.29590986513,1.79421287787,2
"136",6659,"E02006802",939,"E02000972",1,"E02006802E02000972",2,2,5,5.31662366507,1.79381973344,5.2918060312,1.81227810857,2
"137",6711,"E02006854",187,"E02000193",5,"E02006854E02000193",2,52,59,5.37419614025,1.80220296678,5.3036714957,1.81625483058,2
"138",6711,"E02006854",939,"E02000972",8,"E02006854E02000972",4,137,149,5.37419614025,1.80220296678,5.2918060312,1.81227810857,2
"139",6786,"E02006930",6711,"E02006854",1,"E02006930E02006854",1,1,3,5.39775395221,1.78277541239,5.37419614025,1.80220296678,2
